parent_id,description,priority,tags
BigO_1,Crear el handler y la estructura de datos  para Money Requirements ,5,Money
BigO_1,Ajustar Todays Mission para que tome en consideracion la preferencia de hora de ejecucion del usuario,5,TodaysMission
BigO_1,Add button in ImPe Set viewer just contacted que dispare done para el KSU de contacto asignado. Debe de ser vastante straigt forward,5,ImPe
BigO_1,Permitirle al usuario que oculte todos los KSUs que marco como privados,5,UserPreferences
BigO_1,Para todos los ksus que tengan un link en viewer que me permita ver todos los child ksus que deriban de ellos.,5,SetViewer
BigO_1,Cuando mis usuarios hagan sign in les tengo que pedir mucha informacion para entender sus demographics y que en funcion a eso poderles hacer recomendaciones de KSUs y entender mejor al ser humano a nivel mundial!,5,SignUp
BigO_1,Add Set - Desissions and Rationals,5,RandomSet
BigO_1,Add Set - Life Reflexions,5,RandomSet
BigO_1,Add Set - My Favorite Ideas/Quotes. Uno de los attributos es el nombre del autor,5,RandomSet
BigO_1,Permitirle al usuario agregar data points directamente en el viewer de ImIn,5,ImIn
BigO_1,Agregar otra vez el attributo de people to thank (si por un mismo evento le agradeces a varias personas se dividen los puntos que le tocan a esa persona),5,EVPo
BigO_1,Que el usuario pueda habilitar ser castigado si hace push a ciertas acciones de su mission - Attributo 'do_or_fail' Push Fail (el boton push aparece en rojo - Si empujas una actividad de KAS1 (KAS1 tambien puede tener el attributo streak) o KAS2 te gastiga - Tienes la opcion de que te castigue escogiendo eso como attributo,5,Structure|UserSettings
BigO_1,Agregar un cementerio de KSUs (el lugar a donde todos los KSUs que han sido borrados van a ir a dar en el futuro para hacer espacio) --- No estoy seguro si realmente va a ser necesario,5,Structure
BigO_1,Add Feature: Para los articulos del End Value Portfolio| que pueda asociar a cada articulo algunas ImPe con las que puedo realizar la accion en cuestion,5,EVPo
BigO_1,Shopping List automaticamente genera un articulo KAS 2. (si lo tienes con frecuencia repetitiva???) o mas bien es un Tag nadamas el shopping list? . Creo que mas bien es un tag y ya (Standard Tags? o igual que puedas turn on and off las cosas que necesitas. como yo le hacia manual en el excel),5,ShoppingList
BigO_1,revisar en app engine si puedo definir mis propias propiedades de data estore para aumentar el tamano de los blobs donde almaceno informacion sin tener que modificar la estructura de mi codigo,5,Structure
BigO_1,Integrar KASware con Google Calendar (que tan dificil sera integrar a google calendar para que automaticamente genere eventos tipo KAS2 y entradas en el Calendario). ,5,Integration
BigO_1,Ajustar 'Today's Mission' con JS (ajax) para que no se tenga que re-loadear cada vez que le doy 'done' a un KSU. ,6,TodaysMission
BigO_1,Tener sub categorias del value_type health and vitality tipo V540 Para todo lo que tiene que ver con fuerza y tipo que V541 Se refiera a Pecho| V542 a Biceps y asi para cada grupo muscular. Igual e ingreso una variable adicional que sea repetitions y otra aclaro que duration es total duration.,6,Structure
BigO_1,Killer Feature! - Poder agregar fotos a tus KSUs (en particular a reasons to be grateful) y sobre todo a tus eventos de End Value. Feature - Poder agregar imagenes al KSU. Tanto al KSU en si| como a la historia :) - En particular al documentar ciertas actividades que me dieron happiness points quiero acompanarki con una imagen,6,Structure
BigO_1,Add Feature:  Que el usuario pueda bajar y subir un archivo de texto con el backup de su teoria.. Igual y le pediria este archivo a los autores que quieren que aparezca la traduccion de sus libros a KSUs en la KASware,6,Structure
BigO_1,Attrubuto - bucket list view a kasware- seguro tambien seria de los features mas populares - Quisas hago que hasta arriba aparezca el bucket list y luego ya este ordenado por elemento. O tal vez lo que es bucket list que el texto se ponga Azul o verde o algo que claramente se diferencie,6,Wish
BigO_1,Add Feature:  Enviar junto con el correo de mision los resultados del dia anterior y un reporte con estadisticas que te comparan lo que hiciste vs. el dia anterior y el mismo dia de la semana pasada etc..,6,Email
BigO_1,Add Feature: Perimitirle al usuario que su reporte tambien le llegue a su personal coach para que este tenga visivilidad de que fue todo lo que hizo durante el dia,6,Structure
BigO_1,Ajustar para que le lleguen a las otras personas notificaciones (ya sea por email o a su cuenta de kasware) cada vez que les agradezcas puntos de end value. Tal vez se puede customizar segun el tipo de relacion| y tambien segun el tipo de relacion es el Elemento asociado al que se crea el ksu de contacto. (no estoy seguro de lo ultimo),6,Structure
BigO_1,Agregar charts para que el usuario pueda ver de forma mas sencilla la informacion de sus indicadores,7,ImIn
BigO_1,Cuando ya tenga Java en el codigo. Que cuando aprietes el botton de  Add To Mission que aparezca un mensaje de confirmacion. Tambien que aparezcan modals donde ves mas informacion de un KSU cuando te paras sobre ellos,7,TodaysMission
BigO_1,Agregar a la form de new/Edit otra vez el attributo de parent KSU para que un usuario pueda manualmente establecer relaciones de parentesco. Esto hasta que tenga ya JS y mientras escribes se comiencen a acotar las opciones porque ahuevo el campo necesita validatio.,7,Structure
BigO_1,Si registras en KASware tus preferencias respecto a shows| peliculas| juegos| etc. Te muestra una lista personalizada de la probabilidad de que te gusten otras cosas en funcion a las experiencias reportadas de otros usuarios. Tambien en funcion a tus demographics y otras cosas KASware the puede hacer recomendaciones de acciones que han agregado valor a la vida de otras personas.,7,Structure
BigO_1,Set de userpreferences donde pueda configurar si quiere cuales son las palancas de valor de su mundo. Por default vienen las 10 que yo defini. Permite tener una diferenciacion entre tu set personal y el de tu trabajo,7,Structure|UserSettings
BigO_1,Kasware corporate - necesito hacerlo de tal forma que luego lo pueda vender a corporaciones. Cambiar elementos/value types por palancas de valor de cada posicion.,7,Corporate
BigO_1,Poder Tener Tags Compartidos con otro usuario y asi se ve cuanto le pone de esfuerzo cada quien .Igual y mas que target person| puedo tener tags compartidos. Tipo que dani y yo los dos tengamos un tag de nuestra relacion y que cada vez que hagamos un esfuerzo le pongamos ese tag al KSU. Luego puedo contar todo lo que tiene ese tag. Es mas| creo que se podria llamar 'great partner',7,SocialStructure
