id,value_type,description,awesomeness,target_date
BigO_1,E300,KASware - Desarrollar y publicar una version Alpha (Un producto que quiera usar por gusto yo),144,736051
BigO_2,E300,Google - Conseguir una oferta para entrar a trabajar a Google,89,736051
BigO_3,E900,Trabajo Cool - Conseguir una oferta de trabajo para un lugar cool que me paguen al menos $50 000 pesos netos al mes + Bonos,55,736051
